time,layer,z_top,z_bottom,z_center,range,Dm_top,Dm_bottom,delta_Dm,rel_change_Dm,Nw_top,Nw_bottom,delta_Nw,rel_change_Nw,LWC_top,LWC_bottom,delta_LWC,rel_change_LWC,tau_Dm,trend_sign_Dm,trend_strength_Dm,trend_p_Dm,trend_mag_Dm,tau_Nw,trend_sign_Nw,trend_strength_Nw,trend_p_Nw,trend_mag_Nw,tau_LWC,trend_sign_LWC,trend_strength_LWC,trend_p_LWC,trend_mag_LWC,micro_signature_str,v_mean_top,v_mean_bottom,delta_v_mean,v_std_top,v_std_bottom,delta_v_std,v_p10_top,v_p10_bottom,delta_v_p10,v_p50_top,v_p50_bottom,delta_v_p50,v_p90_top,v_p90_bottom,delta_v_p90,dist_bb_peak,dist_bb_bottom,overlaps_bb,RR_mean
2024-10-28 22:00:00.007906048,890.0,1140.0,640.0,890.0,1130.0,0.743295837256469,,,,4.756391009199479,,,,0.21377047337875946,,,,0.8901098901098902,1,0.8901098901098902,1.809854240409796e-07,0.0014771796061823377,-0.9780219780219781,-1,0.9780219780219781,3.2118087673643227e-10,-0.005121190827501536,-1.0,-1,1.0,2.294149119545945e-11,-0.0003025458246498279,"+,-,-",-4.013145014774734,,,0.8961170711649182,,,-5.097428259886991,,,-4.153460063611631,,,-2.8319045888261236,,,,,False,1.1348025288350556
2024-10-28 22:00:00.007906048,925.0,1175.0,675.0,925.0,1165.0,0.7404714307152381,1.4198702028669394,0.6793987721517013,91.75219245061955,4.81623800148924,2.1908306560171344,-2.6254073454721056,-54.511578220600754,0.2416468492070834,0.007739896343534186,-0.2339069528635492,-96.79702161690452,0.8666666666666667,1,0.8666666666666667,1.5433964673382663e-07,0.0013865281064320435,-0.980952380952381,-1,0.980952380952381,2.294149119545945e-11,-0.004997892710006972,-1.0,-1,1.0,1.5294327463639633e-12,-0.00035463099705276455,"+,-,-",-4.023025966621913,-5.61635292785923,-1.5933269612373175,0.9039748695180996,0.5239032927107682,-0.3800715768073314,-5.097428259886991,-6.230190095417429,-1.132761835530438,-4.153460063611631,-5.66380917765221,-1.5103491140405794,-2.8319045888261236,-4.90863462063192,-2.0767300318057966,,,False,1.2924653986997106
2024-10-28 22:00:00.007906048,960.0,1210.0,710.0,960.0,1200.0,0.7358734420453783,1.3093481898310837,0.5734747477857054,77.93116520032552,4.819828028918538,2.7470752300296306,-2.0727527988889074,-43.004704451125136,0.23765691413894677,0.020146784728919315,-0.21751012941002745,-91.52274411964281,0.8285714285714286,1,0.8285714285714286,9.951376518836835e-07,0.001184125935302246,-0.980952380952381,-1,0.980952380952381,2.294149119545945e-11,-0.004567530246413936,-0.980952380952381,-1,0.980952380952381,2.294149119545945e-11,-0.00044902701607206985,"+,-,-",-4.058253563989662,-5.414187486167405,-1.3559339221777433,0.9427843015791848,0.6267754310995781,-0.3160088704796067,-5.286221899142065,-6.230190095417429,-0.9439681962753639,-4.153460063611631,-5.475015538397139,-1.3215554747855087,-2.8319045888261236,-4.531047342121775,-1.6991427532956518,,,False,1.5135058857367096
2024-10-28 22:00:00.007906048,995.0,1245.0,745.0,995.0,1235.0,0.7381992703639915,1.1904943419388434,0.45229507157485194,61.27005129005806,4.7738945923541936,3.0427276287654546,-1.731166963588739,-36.26320041421428,0.21652046252586868,0.027198620590596606,-0.18932184193527207,-87.43831401738896,0.7714285714285715,1,0.7714285714285715,1.0056000424717356e-05,0.0009173928872455111,-0.9428571428571428,-1,0.9428571428571428,1.0155433435856716e-09,-0.004142683064100758,-0.9428571428571428,-1,0.9428571428571428,1.0155433435856716e-09,-0.00048197745879756214,"+,-,-",-4.1059833129528025,-5.116363595524907,-1.0103802825721049,0.9791678007328299,0.6888733716067313,-0.2902944291260986,-5.286221899142065,-6.041396456162355,-0.7551745570202897,-4.153460063611631,-5.097428259886991,-0.9439681962753603,-2.8319045888261236,-4.153460063611631,-1.321555474785507,,,False,1.7006941104434814
2024-10-28 22:00:00.007906048,1030.0,1280.0,780.0,1030.0,1270.0,0.7884798808129335,1.09366769230476,0.3051878114918264,38.70584639105485,4.528895308454965,3.250827653682897,-1.2780676547720682,-28.220295849763893,0.16031260841508904,0.03128088940902942,-0.12903171900605961,-80.48756756047818,0.6190476190476191,1,0.6190476190476191,0.0008364083878716816,0.000588077059869368,-0.8095238095238096,-1,0.8095238095238096,2.2746672052227607e-06,-0.003645646245090615,-0.8476190476190477,-1,0.8476190476190477,4.0734605880108527e-07,-0.0004552511080686442,"+,-,-",-4.323551498373852,-4.85606676156678,-0.532515263192928,1.0035656742248107,0.7185800822448469,-0.28498559197996376,-5.66380917765221,-5.852602816907281,-0.18879363925507064,-4.342253702866701,-4.90863462063192,-0.566380917765219,-3.020698228081196,-3.96466642435656,-0.9439681962753639,,,False,1.8336449391034149
2024-10-28 22:00:00.007906048,1065.0,1315.0,815.0,1065.0,1305.0,0.8383332214963386,1.0093889366190307,0.17105571512269213,20.404262975213516,4.29549907991019,3.4507258851153755,-0.8447731947948145,-19.666473652520885,0.1196949132285833,0.035964162714592025,-0.08373075051399129,-69.95347442550823,0.4285714285714286,1,0.4285714285714286,0.027495265215751328,0.000283533213155337,-0.6571428571428571,-1,0.6571428571428571,0.00033037090163412914,-0.0029804902027234983,-0.7142857142857143,-1,0.7142857142857143,6.710364303783617e-05,-0.0004298959519316111,"+,-,-",-4.523077357545218,-4.701764502113241,-0.17868714456802248,1.0082712705771126,0.8233562241174722,-0.1849150464596404,-5.852602816907281,-5.852602816907281,0.0,-4.531047342121775,-4.71984098137685,-0.1887936392550742,-3.020698228081196,-3.5870791458464133,-0.5663809177652173,,,False,1.9271218825848815
2024-10-28 22:00:00.007906048,1100.0,1350.0,850.0,1100.0,1340.0,0.804220382601184,0.9441127216916025,0.13989233909041854,17.394776620551248,4.346935717627458,3.6264058643056467,-0.7205298533218114,-16.57558105586788,0.11411583926444556,0.041248785919440686,-0.07286705334500487,-63.853584055187035,0.23809523809523814,1,0.23809523809523814,0.23945881568583288,0.000114850837907183,-0.5047619047619049,-1,0.5047619047619049,0.008269998948239689,-0.001709914065421739,-0.561904761904762,-1,0.561904761904762,0.0028582293753424705,-0.0003196618181078936,"+,-,-",-4.498054007365214,-4.555818412967524,-0.057764405602309665,1.0415263363339906,0.9024786289610283,-0.13904770737296235,-5.852602816907281,-5.852602816907281,0.0,-4.531047342121775,-4.531047342121775,0.0,-3.020698228081196,-3.398285506591341,-0.37758727851014484,,,False,2.009730886866703
2024-10-28 22:00:00.007906048,1135.0,1385.0,885.0,1135.0,1375.0,0.757280015094308,0.8976401678777383,0.14036015278343028,18.534775774579302,4.460258471011582,3.7554728937912336,-0.7047855772203486,-15.801451458495945,0.11646471319020604,0.04537241694508572,-0.07109229624512033,-61.041919305648314,0.10476190476190476,1,0.10476190476190476,0.6264945175158468,3.2459433589238083e-05,-0.3523809523809524,-1,0.3523809523809524,0.07433498084899375,-0.0012521611057706005,-0.40952380952380957,-1,0.40952380952380957,0.03589723736788882,-0.0002892687301044431,"+,-,-",-4.4332978396791045,-4.47583426485677,-0.04253642517766565,1.0808497787274922,0.9686744560903291,-0.11217532263716312,-5.852602816907281,-5.852602816907281,0.0,-4.531047342121775,-4.342253702866701,0.1887936392550742,-2.8319045888261236,-3.2094918673362685,-0.37758727851014484,,,False,2.0885470747820576
2024-10-28 22:00:00.007906048,1170.0,1420.0,920.0,1170.0,1410.0,0.7532083464389012,0.843547526928023,0.09033918048912182,11.993916545964609,4.426033186617471,3.938791136561353,-0.4872420500561181,-11.008549405579252,0.10534249238385408,0.05396836610953199,-0.05137412627432209,-48.768664108612114,-0.028571428571428574,-1,0.028571428571428574,0.9225700904951897,-3.5401818508686605e-05,-0.18095238095238098,-1,0.18095238095238098,0.3794503959627968,-0.0006761104841952739,-0.21904761904761905,-1,0.21904761904761905,0.2815660702955676,-0.0001096291590239809,"-,-,-",-4.476910173168064,-4.453927254761898,0.022982918406166064,1.110025833833698,1.0378632253593774,-0.07216260847432054,-5.852602816907281,-5.852602816907281,0.0,-4.531047342121775,-4.531047342121775,0.0,-2.8319045888261236,-3.020698228081196,-0.18879363925507242,,,False,2.152994144552771
2024-10-28 22:00:00.007906048,1205.0,1455.0,955.0,1205.0,1445.0,0.7177393176577839,0.7973725494952136,0.07963323183742976,11.095007599318764,4.517025120969935,4.1184029163086215,-0.39862220466131326,-8.824883501549303,0.1071030844590748,0.06515652974330827,-0.041946554715766526,-39.16465611389067,-0.06666666666666668,-1,0.06666666666666668,0.770495669755301,-3.991842853338918e-05,-0.028571428571428574,-1,0.028571428571428574,0.9225700904951897,-0.00010257221226565504,-0.028571428571428574,-1,0.028571428571428574,0.9225700904951897,-6.0168694661875635e-06,"-,-,-",-4.39602709216196,-4.45791540312031,-0.061888310958350345,1.0994035944529406,1.0995529342832628,0.00014933983032228149,-5.66380917765221,-5.852602816907281,-0.18879363925507064,-4.531047342121775,-4.531047342121775,0.0,-2.8319045888261236,-3.020698228081196,-0.18879363925507242,,,False,2.208303796767009
